unix_timestamp,yaw,pitch,roll
1788186328.1368606,17.64,-4.86,7.13
1788186328.333655,17.63,-4.86,7.13
1788186328.5256367,17.64,-4.86,7.13
1788186328.7685888,17.64,-4.86,7.13
1788186329.0532527,17.64,-4.86,7.13
1788186329.1427836,17.64,-4.86,7.13
1788186329.343694,17.63,-4.86,7.13
1788186329.5838373,17.63,-4.86,7.13
1788186329.8426778,17.63,-4.86,7.13
1788186329.9640326,17.64,-4.86,7.13
1788186330.177486,17.64,-4.86,7.13
1788186330.3628228,17.64,-4.86,7.13
1788186330.5674703,17.64,-4.86,7.13
1788186330.8595338,17.64,-4.86,7.13
1788186330.9828744,17.64,-4.86,7.13
1788186331.1979344,17.64,-4.86,7.13
1788186331.3915563,17.74,-4.78,7.12
1788186331.59253,17.56,-5.0,7.21
1788186331.7956939,17.4,-4.9,7.17
1788186331.996156,17.36,-4.87,7.15
1788186332.1971302,17.33,-4.67,7.16
1788186332.4056816,17.27,-4.47,7.24
1788186332.6348107,17.27,-4.39,7.28
1788186332.8265998,17.21,-4.35,7.3
1788186333.0351691,17.18,-4.45,7.18
1788186333.2811697,17.2,-4.48,7.16
1788186333.4591045,16.66,-4.46,7.21
1788186333.6567886,16.85,-4.43,7.21
1788186333.8524318,16.86,-4.42,7.19
1788186334.0594032,16.86,-4.42,7.2
1788186334.2745457,16.86,-4.42,7.21
1788186334.4626803,16.86,-4.42,7.21
1788186334.6638167,16.86,-4.42,7.21
1788186334.8785925,16.86,-4.39,7.22
1788186335.0752351,17.07,-4.44,7.34
1788186335.2457314,16.91,-4.62,7.32
1788186335.4565012,16.76,-4.48,7.3
1788186335.7729049,16.67,-4.67,7.23
1788186335.8849454,16.62,-4.75,7.2
1788186336.1063244,16.52,-4.9,7.3
1788186336.3097036,16.56,-4.91,7.19
1788186336.5022674,16.49,-4.81,7.27
1788186336.677852,16.4,-4.87,7.17
1788186336.9355526,16.42,-4.89,7.18
1788186337.1373026,16.46,-4.9,7.22
1788186337.3221002,16.44,-4.92,7.22
1788186337.532753,16.44,-4.94,7.22
1788186337.7400758,16.44,-4.94,7.22
1788186337.9517214,16.44,-4.94,7.22
1788186338.14751,16.44,-4.94,7.22
1788186338.3601627,16.44,-4.94,7.22
1788186338.497616,16.25,-4.77,7.29
1788186338.7238529,16.16,-4.9,7.4
1788186338.9533684,15.98,-4.85,7.32
1788186339.154896,16.0,-4.75,7.3
1788186339.3628905,15.97,-4.71,7.3
1788186339.572624,15.93,-4.59,7.4
1788186339.776854,15.89,-4.51,7.32
1788186339.9852083,15.85,-4.52,7.34
1788186340.194333,15.71,-4.52,7.35
1788186340.4084938,15.81,-4.63,7.28
1788186340.5993855,15.71,-4.66,7.33
1788186340.7582285,15.71,-4.65,7.31
1788186341.0226905,15.71,-4.66,7.31
1788186341.2239742,15.71,-4.65,7.31
1788186341.4181,21.95,-5.42,6.9
1788186341.5897362,37.86,-7.21,5.11
1788186341.8221693,55.15,-8.54,2.71
1788186342.0505414,73.01,-9.09,-0.09
1788186342.251747,91.17,-8.76,-2.83
1788186342.4530485,104.26,-8.0,-4.69
1788186342.6862752,105.2,-7.92,-4.84
1788186342.834128,105.19,-7.92,-4.83
1788186343.0638964,105.19,-7.9,-4.83
1788186343.2039905,105.14,-8.02,-4.75
1788186343.419294,105.2,-8.17,-4.91
1788186343.682329,105.11,-8.13,-4.81
1788186343.841597,105.12,-8.14,-4.86
1788186344.049765,105.12,-7.84,-4.87
1788186344.257607,105.02,-7.64,-4.73
1788186344.4902463,104.92,-7.35,-4.74
1788186344.693701,104.83,-7.49,-4.7
1788186344.836702,104.79,-7.64,-4.75
1788186345.1182787,104.78,-7.74,-4.75
1788186345.3074613,104.86,-7.89,-4.8
1788186345.4557552,104.86,-7.88,-4.78
1788186345.7334077,104.85,-7.87,-4.77
1788186345.8506136,104.86,-7.87,-4.77
1788186346.139906,104.85,-7.87,-4.77
1788186346.3372083,104.86,-7.87,-4.77
1788186346.4674203,104.85,-7.87,-4.76
1788186346.7470524,104.7,-7.82,-4.76
1788186346.8771527,104.61,-8.08,-4.79
1788186347.0912204,104.42,-8.07,-4.77
1788186347.2926602,104.4,-7.94,-4.72
1788186347.5843117,104.42,-7.77,-4.7
1788186347.7244186,104.4,-7.53,-4.71
1788186347.9040887,104.31,-7.39,-4.65
1788186348.1608315,104.3,-7.45,-4.67
1788186348.4024563,104.23,-7.55,-4.66
1788186348.5088124,104.2,-7.67,-4.66
1788186348.7158003,104.48,-7.8,-4.7
1788186349.0120323,104.4,-7.8,-4.7
1788186349.1231,104.39,-7.79,-4.69
1788186349.4308782,104.4,-7.8,-4.69
1788186349.5424612,104.4,-7.81,-4.69
1788186349.7362313,104.39,-7.81,-4.69
1788186349.956198,104.39,-7.81,-4.69
1788186350.2453067,104.33,-7.79,-4.71
1788186350.3558912,104.17,-7.89,-4.7
1788186350.564148,103.99,-8.08,-4.64
1788186350.7646651,103.89,-7.96,-4.73
1788186351.028131,103.83,-7.76,-4.69
1788186351.187679,103.79,-7.62,-4.63
1788186351.393932,103.79,-7.49,-4.61
1788186351.6124027,103.71,-7.56,-4.67
1788186351.8358378,103.66,-7.67,-4.67
1788186352.0804646,103.65,-7.75,-4.73
1788186352.2092028,103.61,-7.94,-4.67
1788186352.3977802,103.6,-7.91,-4.69
1788186352.6950824,103.62,-7.92,-4.7
1788186352.8156054,103.63,-7.92,-4.71
1788186353.0224094,103.62,-7.92,-4.71
1788186353.2965388,113.67,-7.08,-5.94
1788186353.4340353,129.94,-5.26,-7.64
1788186353.6343315,151.66,-2.16,-9.14
1788186353.9100702,169.22,0.62,-9.26
1788186354.0759711,-173.05,3.27,-8.6
1788186354.2571647,-155.28,5.55,-7.14
1788186354.4630013,-137.28,7.4,-5.12
1788186354.6536057,-119.21,8.46,-2.64
1788186354.8565629,-101.08,8.74,0.22
1788186355.1467505,-82.91,8.13,2.93
1788186355.2568264,-76.47,7.67,3.87
1788186355.472344,-76.31,7.68,3.95
1788186355.686639,-76.53,7.41,3.84
1788186355.8826594,-76.76,7.46,3.66
1788186356.1171606,-76.78,7.29,3.77
1788186356.3125074,-76.95,7.53,3.77
1788186356.5291584,-76.96,7.76,3.79
1788186356.7392166,-76.89,7.95,3.77
1788186356.8689435,-76.91,7.95,3.66
1788186357.078639,-77.0,7.84,3.65
1788186357.3681438,-76.95,7.77,3.78
1788186357.4917326,-76.78,7.7,3.78
1788186357.7133632,-76.81,7.71,3.78
1788186357.9241223,-76.81,7.73,3.79
1788186358.209627,-76.82,7.74,3.79
1788186358.3341725,-76.87,7.76,3.8
1788186358.5521505,-91.99,8.62,1.58
1788186358.8401458,-109.42,8.78,-1.11
1788186358.9311826,-127.21,8.11,-3.8
1788186359.2498806,-145.16,6.76,-6.13
1788186359.3601077,-162.76,4.69,-7.9
