unix_timestamp,x,y,z
1784518672.0707555,0.0,0.0,0.0
1784518673.0975413,0.29034,0.0194,0.0
1784518674.1233864,0.30813,0.01925,0.0
1784518675.1375587,0.31276,0.02013,0.0
1784518676.1676989,0.3152,0.01926,0.0
1784518677.1943383,0.3168,0.06835,0.0
1784518678.218414,0.28502,0.56847,0.0
1784518679.2420788,0.27645,0.69645,0.0
1784518680.2641587,0.27467,0.70965,0.0
1784518681.2914414,0.27444,0.71029,0.0
1784518682.310318,0.27217,0.71114,0.0
1784518683.3389623,0.0318,0.70776,0.0
1784518684.3643506,-0.32542,0.68934,0.0
1784518685.383747,-0.45656,0.68373,0.0
1784518686.214663,-0.45938,0.68343,0.0
1784518687.2271073,-0.45798,0.68128,0.0
1784518688.2421746,-0.45812,0.68032,0.0
1784518689.2991326,-0.4501,0.30823,0.0
1784518690.2961864,-0.44348,0.05308,0.0
1784518691.3209453,-0.44342,-0.00517,0.0
1784518692.3546462,-0.44211,-0.00698,0.0
1784518693.3724809,-0.44206,-0.00472,0.0
1784518694.3895233,-0.43753,-0.00172,0.0
