unix_timestamp,yaw,pitch,roll
1787664122.819512,1.77,0.11,-0.57
1787664123.2189631,1.77,0.11,-0.57
1787664123.2189631,1.77,0.11,-0.58
1787664123.4312615,1.77,0.11,-0.57
1787664123.7586596,1.77,0.11,-0.57
1787664123.8504188,1.77,0.11,-0.58
1787664124.0515065,1.77,0.11,-0.57
1787664124.2515135,1.77,0.11,-0.57
1787664124.454122,1.77,0.11,-0.58
1787664124.662502,1.77,0.11,-0.58
1787664124.9168987,1.77,0.11,-0.57
1787664125.0699136,1.76,0.12,-0.57
1787664125.2775583,1.75,0.26,-0.57
1787664125.5700102,1.77,0.38,-0.59
1787664125.6821706,1.78,0.49,-0.6
1787664125.882598,1.78,0.6,-0.6
1787664126.093292,1.78,0.67,-0.6
1787664126.4187124,1.78,0.68,-0.6
1787664126.502614,1.79,0.67,-0.6
1787664126.8194506,1.79,0.67,-0.6
1787664126.9129603,1.79,0.67,-0.6
1787664127.3137758,1.79,0.67,-0.6
1787664127.3220184,1.79,0.67,-0.6
1787664127.5275073,1.79,0.67,-0.6
1787664127.731009,1.79,0.67,-0.6
1787664128.0510256,1.79,0.67,-0.6
1787664128.1520107,1.79,0.67,-0.6
1787664128.3549597,1.79,0.67,-0.6
1787664128.5558515,1.79,0.67,-0.6
1787664128.756075,1.79,0.67,-0.6
1787664128.9690638,1.79,0.67,-0.61
1787664129.1663237,1.79,0.66,-0.6
1787664129.3744838,1.79,0.66,-0.6
1787664129.5755486,1.79,0.66,-0.62
1787664129.777519,1.78,0.66,-0.62
1787664129.9889455,1.78,0.66,-0.62
1787664130.1809707,1.79,0.66,-0.62
1787664130.3922093,1.79,0.66,-0.62
1787664130.600536,1.79,0.66,-0.62
1787664130.8187265,1.78,0.66,-0.62
1787664131.0131316,1.79,0.66,-0.62
1787664131.2144644,1.79,0.66,-0.62
1787664131.416219,1.78,0.66,-0.62
1787664131.6176593,1.79,0.67,-0.63
1787664131.8301117,1.8,0.67,-0.63
1787664132.0293946,1.81,0.68,-0.64
1787664132.2145362,1.82,0.67,-0.64
1787664132.4302006,1.85,0.68,-0.69
1787664132.6311684,1.76,0.65,-0.7
1787664132.8539245,1.66,0.68,-0.66
1787664133.0547962,1.62,0.65,-0.61
1787664133.2491856,1.53,0.69,-0.6
1787664133.4763973,1.58,0.64,-0.69
1787664133.6475286,1.55,0.66,-0.68
1787664133.8394132,1.45,0.64,-0.76
1787664134.0712326,1.37,0.65,-0.77
1787664134.271895,1.43,0.65,-0.75
1787664134.46425,1.27,0.65,-0.77
1787664134.674017,1.25,0.62,-0.76
1787664134.91428,1.24,0.64,-0.8
1787664135.0852673,1.23,0.65,-0.82
1787664135.2923436,1.11,0.63,-0.8
1787664135.5160623,1.08,0.52,-0.77
1787664135.6958413,1.03,0.57,-0.82
1787664135.9065955,0.98,0.58,-0.81
1787664136.0977218,1.01,0.62,-0.85
1787664136.321382,0.89,0.67,-0.81
1787664136.483938,0.92,0.67,-0.82
1787664136.696085,0.81,0.75,-0.85
1787664136.903463,0.73,0.78,-0.79
1787664137.1161237,0.64,0.83,-0.85
1787664137.3169322,0.74,0.94,-0.7
1787664137.5250688,0.58,1.0,-0.92
1787664137.7073858,0.37,1.01,-0.95
1787664137.9329393,0.55,0.98,-0.95
1787664138.147961,0.56,1.0,-0.94
1787664138.3329568,0.4,1.01,-0.91
1787664138.5554357,0.46,0.98,-0.93
1787664138.7843874,5.12,1.06,-0.82
1787664138.993313,12.05,1.11,-0.63
1787664139.199916,17.8,1.14,-0.47
1787664139.4020245,23.74,1.12,-0.36
1787664139.5611107,29.66,1.09,-0.24
1787664139.8169556,35.55,1.08,-0.17
1787664140.0176587,41.56,1.04,-0.0
1787664140.223397,47.52,0.97,0.06
1787664140.4243135,53.42,0.94,0.22
1787664140.5762782,59.38,0.89,0.27
1787664140.8366067,65.32,0.77,0.34
1787664141.0404582,71.17,0.7,0.44
1787664141.245974,77.28,0.6,0.49
1787664141.3977346,83.13,0.52,0.6
1787664141.6550157,88.97,0.42,0.65
1787664141.8531904,89.56,0.42,0.64
1787664141.9996912,89.56,0.44,0.66
1787664142.193033,89.57,0.45,0.66
1787664142.4058104,89.47,0.47,0.72
1787664142.6152937,89.53,0.42,0.7
1787664142.8325596,89.41,0.41,0.71
1787664143.032974,89.42,0.39,0.66
1787664143.2145624,89.36,0.4,0.67
1787664143.4149187,89.22,0.36,0.64
1787664143.6290524,89.31,0.38,0.57
1787664143.852025,89.29,0.4,0.55
1787664144.032246,89.07,0.39,0.44
1787664144.2247715,88.99,0.4,0.35
1787664144.433685,89.06,0.3,0.35
1787664144.6617844,89.03,0.26,0.32
1787664144.844047,88.73,0.25,0.28
1787664145.0535133,88.7,0.22,0.26
1787664145.2523828,88.88,0.21,0.25
1787664145.4465246,88.94,0.15,0.21
1787664145.6583161,88.81,0.12,0.22
1787664145.8642895,88.73,0.07,0.2
1787664146.0871413,88.8,0.04,0.17
1787664146.2883444,88.71,0.04,0.18
1787664146.490699,88.61,-0.03,0.21
