unix_timestamp,x,y,z
1787574278.8335986,0.0,0.0,0.0
1787574279.8576827,0.052,0.0155,0.0
1787574280.89443,0.15866,0.0305,0.0
1787574281.8945062,0.26179,0.02632,0.0
1787574282.9557645,0.3629,0.01738,0.0
1787574283.9397926,0.46534,0.0263,0.0
1787574284.9790497,0.5617,0.05359,0.0
1787574285.9997058,0.66034,0.10087,0.0
1787574287.0079176,0.74101,0.15756,0.0
1787576272.1493497,0.0,0.0,0.0
1787576273.1745396,5e-05,3e-05,0.0
1787576274.162047,0.17505,-0.0059,0.0
1787576275.2218294,0.36821,-0.02957,0.0
1787576276.1759615,0.56269,-0.06831,0.0
1787576277.2133355,0.77151,-0.09456,0.0
1787576278.2018168,0.97289,-0.10199,0.0
1787576279.2237368,1.17078,-0.09228,0.0
1787576280.3513188,1.37686,-0.07023,0.0
1787576281.2623217,1.56811,-0.04396,0.0
1787576282.3244655,1.74324,-0.03148,0.0
1787576283.299861,1.88766,-0.02978,0.0
1787576348.2141893,0.0,0.0,0.0
1787576349.2183127,-7e-05,5e-05,0.0
1787576350.2425554,0.15404,0.00983,0.0
1787576351.2850935,0.34965,0.03039,0.0
1787576352.3404248,0.54723,0.03461,0.0
1787576353.3290093,0.75591,0.01851,0.0
1787576354.360589,0.95677,0.00779,0.0
1787576355.3369439,1.15578,0.01276,0.0
1787576356.3597622,1.37253,0.02936,0.0
1787576357.4138675,1.55941,0.04858,0.0
1787576358.4145749,1.78104,0.05043,0.0
1787576359.428365,1.81611,0.06958,0.0
1787576360.4598517,1.91082,0.11598,0.0
1787576361.540254,2.07304,0.10586,0.0
1787576362.515669,2.26205,0.11287,0.0
1787576363.5115166,2.45513,0.13058,0.0
1787576364.542343,2.65485,0.16693,0.0
1787576365.5726094,2.84469,0.21859,0.0
1787576366.592668,3.02713,0.28186,0.0
1787576367.5845923,3.0892,0.29676,0.0
1787576368.63391,3.25093,0.27828,0.0
1787576369.6500406,3.31885,0.29931,0.0
1787576370.747069,3.31295,0.29618,0.0
1787576371.6819165,3.31845,0.24661,0.0
1787576372.741205,3.30266,0.3613,0.0
1787576373.7626393,3.28344,0.56282,0.0
1787576374.7316551,3.28477,0.76143,0.0
