unix_timestamp,x,y,z
1784089849.6547809,0.0,0.0,0.0
1784089850.676747,0.20694,0.01635,0.0
1784089851.6751413,0.25209,0.01767,0.0
1784089852.6978662,0.25329,0.02009,0.0
1784089853.717237,0.25414,0.02066,0.0
1784089854.7174363,0.27934,0.21031,0.0
1784089855.7579796,0.23242,0.62085,0.0
1784089856.755958,0.23012,0.70417,0.0
1784089857.7778563,0.22973,0.70377,0.0
1784089858.7973118,0.22978,0.70454,0.0
1784089859.8374166,0.22969,0.70415,0.0
1784089860.8363457,-0.2787,0.70111,0.0
1784089861.856693,-0.45616,0.69679,0.0
1784089862.8765793,-0.49844,0.70074,0.0
1784089863.877875,-0.49561,0.7009,0.0
1784089864.897667,-0.49509,0.70125,0.0
1784089865.9163759,-0.51799,0.43287,0.0
1784089866.938038,-0.50221,0.08926,0.0
1784089867.9379969,-0.50585,-0.01268,0.0
1784089868.9561803,-0.50405,-0.01199,0.0
1784089869.9753401,-0.50245,-0.01077,0.0
1784089871.0160804,-0.50553,-0.01202,0.0
