unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1787664122.9748268,-0.01042,0.00682,-1.00231,-0.00049,0.00623,0.00601
1787664123.2189631,-0.00867,0.00783,-1.00177,0.0028,0.00519,0.00299
1787664123.3572137,-0.00989,0.0073,-1.00034,0.00245,0.00564,0.0058
1787664123.3699286,-0.00882,0.00729,-1.00146,0.00531,0.00751,0.00363
1787664123.4873333,-0.01073,0.00837,-1.0019,0.0025,0.00396,0.00501
1787664123.6335275,-0.01084,0.00671,-1.00151,0.00635,0.00527,0.00533
1787664123.7586596,-0.00825,0.00842,-1.00108,0.00287,0.00457,0.00629
1787664123.8341818,-0.01096,0.00686,-1.00182,0.00104,0.005,0.00486
1787664123.89103,-0.01038,0.00624,-1.00083,0.00543,0.00334,0.00373
1787664124.0425258,-0.00804,0.00829,-1.00152,0.00586,0.00629,0.00305
1787664124.1754038,-0.01134,0.0066,-1.00102,0.00414,0.00499,0.00527
1787664124.1885595,-0.00985,0.00819,-1.00113,0.00503,0.00526,0.00453
1787664124.4317389,-0.00683,0.00684,-1.00291,0.00463,0.0045,0.0047
1787664124.5728207,-0.00916,0.00753,-1.00231,0.00245,0.00361,0.00372
1787664124.662502,-0.00857,0.00628,-1.00104,0.00214,0.00617,0.00294
1787664124.7903626,-0.01153,0.00692,-1.00178,0.00347,0.00601,0.00531
1787664124.8115468,-0.0084,0.00774,-1.00099,0.00399,0.0038,0.0055
1787664124.9243033,-0.00989,0.00846,-1.00178,0.00484,0.00271,0.00348
1787664125.0699136,-0.00718,0.00707,-1.00289,-0.01542,-0.01609,0.02744
1787664125.2703257,0.03121,0.00102,-1.00274,0.01027,0.0228,0.01368
1787664125.2703257,-0.04288,0.01205,-1.00111,0.01182,0.02849,0.01163
1787664125.4384449,-0.0833,0.01372,-1.00192,0.00636,-0.02181,0.02381
1787664125.4461894,-0.0251,0.00573,-1.00254,0.00199,-0.01016,0.02782
1787664125.5700102,0.00953,0.00023,-1.00114,0.00131,0.00105,0.00342
1787664125.6821706,0.00432,0.00457,-1.00092,0.00288,0.01101,0.00407
1787664125.8018856,-0.00878,0.00567,-1.00197,0.00357,0.0047,0.00205
1787664125.882598,-0.0158,0.00713,-1.00162,0.0048,0.00522,0.00607
1787664126.020796,-0.0139,0.00748,-1.0017,0.00535,0.00897,0.00582
1787664126.034734,-0.00576,0.00791,-1.00029,0.00469,0.00465,0.00757
1787664126.203822,-0.00878,0.00821,-0.99944,0.00464,0.00194,0.00363
1787664126.2980082,-0.01302,0.00851,-1.00257,0.00327,0.0029,0.00438
1787664126.420844,-0.00999,0.00666,-1.00287,0.00346,0.00448,0.00716
1787664126.422855,-0.00855,0.0075,-1.00116,0.00145,0.00705,0.00306
1787664126.5836606,-0.01264,0.00621,-1.00261,0.00233,0.00561,0.00329
1787664126.6949852,-0.01114,0.00755,-1.00091,0.00368,0.00628,0.00599
