unix_timestamp,ir1_raw,ir1_cm,ir2_raw,ir2_cm
1788186328.1368606,236,15.34,199,18.27
1788186328.277605,238,15.21,200,18.18
1788186328.5256367,233,15.55,204,17.82
1788186328.656803,234,15.48,200,18.18
1788186328.9353256,244,14.83,199,18.27
1788186329.1573946,230,15.75,200,18.18
1788186329.343694,240,15.08,199,18.27
1788186329.4694777,239,15.14,200,18.18
1788186329.7291079,236,15.34,202,18.0
1788186329.9482255,237,15.28,200,18.18
1788186330.1271334,244,14.83,200,18.18
1788186330.3628228,234,15.48,200,18.18
1788186330.5031962,233,15.55,199,18.27
1788186330.7311463,238,15.21,198,18.37
1788186330.9828744,239,15.14,199,18.27
1788186331.1116612,233,15.55,199,18.27
1788186331.3540087,233,15.55,200,18.18
1788186331.59253,240,15.08,194,18.76
1788186331.7334623,252,14.34,200,18.18
1788186331.8862195,242,14.95,206,17.64
1788186332.0958543,224,16.19,213,17.04
1788186332.3014276,211,17.21,225,16.11
1788186332.523411,200,18.18,237,15.28
1788186332.7471948,203,17.91,236,15.34
1788186332.970335,217,16.72,230,15.75
1788186333.1685169,221,16.41,228,15.9
1788186333.442961,239,15.14,212,17.13
1788186333.640865,249,14.52,205,17.73
1788186334.05355,233,15.55,205,17.73
1788186334.2745457,234,15.48,206,17.64
1788186334.4626803,233,15.55,206,17.64
1788186334.589631,234,15.48,206,17.64
1788186334.7702296,246,14.7,206,17.64
1788186335.0220842,238,15.21,210,17.29
1788186335.2457314,246,14.7,200,18.18
1788186335.4890156,247,14.64,205,17.73
1788186335.669699,245,14.76,200,18.18
1788186335.8983896,239,15.14,266,13.56
1788186336.0162442,234,15.48,272,13.26
1788186336.2189255,215,16.88,270,13.36
1788186336.4379637,218,16.64,266,13.56
1788186336.6620157,223,16.26,254,14.23
1788186336.9355526,242,14.95,224,16.19
1788186337.1303809,240,15.08,228,15.9
1788186337.2771888,241,15.02,224,16.19
1788186337.5466764,239,15.14,225,16.11
1788186337.7400758,245,14.76,220,16.49
1788186337.9517214,240,15.08,225,16.11
1788186338.273807,239,15.14,224,16.19
1788186338.437964,246,14.7,225,16.11
1788186338.6269464,243,14.89,215,16.88
1788186338.836017,239,15.14,214,16.96
1788186339.0436993,229,15.82,214,16.96
1788186339.3580558,8,30.0,225,16.11
1788186339.5643375,62,30.0,242,14.95
1788186339.776854,94,30.0,248,14.58
1788186340.0173056,115,30.0,242,14.95
1788186340.194333,90,30.0,237,15.28
1788186340.4084938,103,30.0,225,16.11
1788186340.5993855,89,30.0,228,15.9
1788186340.7582285,89,30.0,219,16.57
1788186341.0222907,90,30.0,225,16.11
1788186341.1554728,96,30.0,219,16.57
1788186341.2944198,86,30.0,225,16.11
1788186341.449917,65,30.0,215,16.88
1788186341.6340334,76,30.0,188,19.37
1788186341.8221693,119,30.0,85,30.0
1788186342.0568092,89,30.0,164,22.26
1788186342.251747,170,21.46,182,20.02
1788186342.4530485,186,19.58,194,18.76
1788186342.5718038,196,18.56,198,18.37
1788186342.8486557,197,18.46,194,18.76
1788186342.9945848,184,19.8,194,18.76
1788186343.188031,184,19.8,194,18.76
1788186343.419294,220,16.49,193,18.85
1788186343.634601,256,14.11,194,18.76
1788186343.841597,358,9.97,193,18.85
1788186344.049765,138,26.54,205,17.73
1788186344.257607,29,30.0,213,17.04
1788186344.3900902,30,30.0,225,16.11
1788186344.5973892,35,30.0,225,16.11
1788186344.820875,41,30.0,231,15.68
1788186345.1165352,50,30.0,230,15.75
1788186345.2373993,44,30.0,230,15.75
1788186345.43583,47,30.0,231,15.68
1788186345.7279546,42,30.0,231,15.68
1788186345.9295375,41,30.0,230,15.75
1788186346.139906,47,30.0,234,15.48
1788186346.3529155,45,30.0,231,15.68
1788186346.5403745,41,30.0,231,15.68
1788186346.778579,49,30.0,225,16.11
1788186346.9674659,42,30.0,224,16.19
1788186347.1606512,35,30.0,219,16.57
1788186347.3131955,30,30.0,191,19.06
1788186347.4523427,30,30.0,182,20.02
1788186347.6120553,57,30.0,180,20.25
1788186347.7794473,53,30.0,176,20.72
1788186347.9363344,77,30.0,176,20.72
1788186348.1608315,75,30.0,176,20.72
1788186348.2917163,76,30.0,188,19.37
1788186348.4079866,82,30.0,188,19.37
1788186348.589087,95,30.0,194,18.76
1788186348.7955468,82,30.0,200,18.18
1788186349.0120323,77,30.0,199,18.27
1788186349.4153728,79,30.0,203,17.91
1788186349.618975,95,30.0,203,17.91
1788186349.8135424,95,30.0,200,18.18
1788186350.013653,95,30.0,200,18.18
1788186350.129962,97,30.0,200,18.18
1788186350.275704,98,30.0,204,17.82
1788186350.4525633,185,19.69,199,18.27
1788186350.6464226,344,10.39,207,17.55
1788186350.771268,323,11.1,241,15.02
1788186350.9167557,301,11.94,213,17.04
1788186351.083839,295,12.19,218,16.64
1788186351.2571223,286,12.59,234,15.48
1788186351.393932,263,13.72,254,14.23
1788186351.6259964,238,15.21,284,12.68
1788186351.8358378,223,16.26,301,11.94
1788186352.0971107,209,17.38,330,10.85
1788186352.2832458,211,17.21,339,10.55
1788186352.465402,210,17.29,335,10.68
1788186352.6950824,206,17.64,335,10.68
1788186352.903587,214,16.96,335,10.68
1788186353.0352292,211,17.21,335,10.68
1788186353.2965388,221,16.41,324,11.06
1788186353.5124946,202,18.0,248,14.58
1788186353.7183595,161,22.69,266,13.56
1788186353.923153,126,29.1,275,13.11
1788186354.1253972,70,30.0,289,12.45
1788186354.329886,84,30.0,266,13.56
1788186354.526679,58,30.0,194,18.76
1788186354.7340002,142,25.78,225,16.11
1788186354.888095,228,15.9,193,18.85
1788186355.1467505,295,12.19,219,16.57
1788186355.3657103,317,11.32,219,16.57
1788186355.5713484,299,12.02,225,16.11
1788186355.7635376,284,12.68,236,15.34
1788186355.9163857,256,14.11,248,14.58
1788186356.10422,239,15.14,260,13.89
1788186356.3125074,229,15.82,277,13.01
1788186356.5291584,232,15.61,266,13.56
1788186356.6585083,225,16.11,381,9.34
1788186356.8689435,219,16.57,122,30.0
1788186357.078639,222,16.34,152,24.05
1788186357.3681438,228,15.9,146,25.06
1788186357.6042006,236,15.34,128,28.64
1788186357.9241223,227,15.97,144,25.41
1788186358.209627,238,15.21,128,28.64
1788186358.4258308,223,16.26,158,23.12
1788186358.8397305,171,21.33,150,24.38
1788186358.978208,53,30.0,97,30.0
1788186359.2498806,134,27.34,230,15.75
1788186359.4504256,53,30.0,78,30.0
1788186359.6491582,59,30.0,73,30.0
1788186359.858746,47,30.0,80,30.0
1788186360.053351,62,30.0,74,30.0
1788186360.2730258,57,30.0,55,30.0
1788186360.437464,63,30.0,43,30.0
1788186360.6319468,57,30.0,43,30.0
1788186360.8401377,70,30.0,225,16.11
1788186361.0892494,69,30.0,334,10.72
1788186361.253949,72,30.0,361,9.88
1788186361.47581,50,30.0,358,9.97
1788186361.727482,57,30.0,335,10.68
1788186361.9024878,57,30.0,323,11.1
1788186362.0297825,70,30.0,318,11.28
1788186362.3105285,76,30.0,318,11.28
1788186362.5195663,79,30.0,322,11.13
1788186362.7369146,90,30.0,318,11.28
1788186362.9348624,97,30.0,318,11.28
1788186363.13065,77,30.0,318,11.28
1788186363.3329146,81,30.0,317,11.32
1788186363.555361,77,30.0,317,11.32
1788186363.7794592,100,30.0,324,11.06
1788186363.9644005,110,30.0,324,11.06
1788186364.1581433,89,30.0,317,11.32
1788186364.3668373,140,26.15,307,11.7
1788186364.513637,361,9.88,324,11.06
1788186364.6580522,364,9.8,166,21.99
1788186364.9335582,271,13.31,56,30.0
1788186365.176455,276,13.06,50,30.0
1788186365.3877778,277,13.01,50,30.0
1788186365.585645,264,13.67,49,30.0
1788186365.795008,256,14.11,50,30.0
1788186365.9237447,257,14.05,50,30.0
1788186366.1967304,251,14.4,56,30.0
1788186366.4211295,256,14.11,50,30.0
1788186366.5539892,250,14.46,50,30.0
1788186366.8252847,260,13.89,50,30.0
1788186367.0158265,247,14.64,49,30.0
1788186367.2443721,247,14.64,50,30.0
1788186367.4393752,251,14.4,44,30.0
1788186367.6507337,245,14.76,38,30.0
1788186367.8461883,230,15.75,32,30.0
1788186368.055419,229,15.82,123,30.0
1788186368.2558377,199,18.27,289,12.45
1788186368.4626327,186,19.58,312,11.5
1788186368.6063712,174,20.96,225,16.11
1788186368.8325317,165,22.13,176,20.72
1788186368.9775398,175,20.84,182,20.02
1788186369.2958307,161,22.69,116,30.0
1788186369.4882412,164,22.26,122,30.0
1788186369.6885746,173,21.08,123,30.0
1788186369.9916992,164,22.26,141,25.96
1788186370.3074038,175,20.84,218,16.64
1788186370.714357,176,20.72,110,30.0
1788186370.9283488,234,15.48,60,30.0
1788186371.123495,263,13.72,65,30.0
1788186371.5238323,257,14.05,79,30.0
1788186371.6686778,252,14.34,80,30.0
1788186371.8600686,251,14.4,95,30.0
1788186372.0237017,262,13.78,80,30.0
1788186372.1818194,260,13.89,67,30.0
1788186372.3934722,255,14.17,85,30.0
1788186372.5120027,238,15.21,24,30.0
1788186372.706603,233,15.55,46,30.0
1788186372.9286304,229,15.82,6,30.0
1788186373.1412945,207,17.55,316,11.35
1788186373.3766315,190,19.16,364,9.8
1788186373.5697155,196,18.56,387,9.19
1788186373.7823098,193,18.85,400,8.88
1788186374.0162683,195,18.66,414,8.57
1788186374.1445017,187,19.47,410,8.65
1788186374.3211489,189,19.26,411,8.63
1788186374.615158,185,19.69,413,8.59
1788186374.8064435,192,18.96,413,8.59
1788186375.2182295,185,19.69,400,8.88
1788186375.3763447,164,22.26,271,13.31
1788186375.837167,137,26.73,439,8.05
1788186376.0260718,83,30.0,147,24.89
1788186376.2348354,64,30.0,176,20.72
1788186376.4428718,54,30.0,168,21.72
1788186376.6444936,186,19.58,126,29.1
1788186376.8556023,309,11.62,176,20.72
1788186377.060718,380,9.37,188,19.37
1788186377.195819,386,9.22,188,19.37
1788186377.4033384,371,9.61,194,18.76
1788186377.6223707,340,10.52,201,18.09
1788186377.836794,272,13.26,218,16.64
1788186378.0313413,59,30.0,224,16.19
1788186378.2465131,38,30.0,254,14.23
1788186378.4700472,56,30.0,248,14.58
1788186378.6743388,69,30.0,254,14.23
1788186378.8030524,90,30.0,248,14.58
1788186379.0322638,83,30.0,236,15.34
1788186379.3177736,84,30.0,231,15.68
1788186379.4474416,80,30.0,231,15.68
1788186379.6136186,93,30.0,235,15.41
1788186379.9260714,84,30.0,231,15.68
1788186380.1358979,77,30.0,230,15.75
1788186380.264263,103,30.0,225,16.11
1788186380.4226818,60,30.0,203,17.91
1788186380.9568512,147,24.89,200,18.18
1788186381.1491842,233,15.55,140,26.15
1788186381.2955322,191,19.06,146,25.06
1788186381.478113,215,16.88,146,25.06
1788186381.766619,202,18.0,157,23.27
1788186381.9132788,341,10.49,162,22.54
1788186382.051829,287,12.54,170,21.46
1788186382.2324715,155,23.58,177,20.6
1788186382.4346797,18,30.0,184,19.8
1788186382.5937777,35,30.0,188,19.37
