unix_timestamp,yaw,pitch,roll
1784089848.8573651,4.64,4.03,0.35
1784089849.0572243,4.54,3.96,0.48
1784089849.255265,4.53,3.85,0.39
1784089849.4543111,4.57,3.69,0.45
1784089849.6547809,4.55,3.45,0.47
1784089849.855792,4.52,3.24,0.45
1784089850.0556428,4.51,3.19,0.55
1784089850.277206,4.39,3.16,0.5
1784089850.4768374,4.49,3.1,0.49
1784089850.6777751,4.51,3.1,0.53
1784089850.8764045,4.53,3.08,0.57
1784089851.0772886,4.55,3.08,0.6
1784089851.2949314,5.67,3.03,0.67
1784089851.4953604,10.85,2.9,1.01
1784089851.694307,16.43,2.74,1.31
1784089851.8968208,22.21,2.53,1.58
1784089852.0959225,29.64,2.25,1.86
1784089852.296548,35.51,1.97,2.09
1784089852.4960804,41.52,1.72,2.29
1784089852.6988764,47.37,1.38,2.42
1784089852.917006,53.19,1.07,2.56
1784089853.1165512,59.2,0.72,2.68
1784089853.3183217,65.03,0.37,2.77
1784089853.5175912,71.09,0.02,2.83
1784089853.717237,76.98,-0.36,2.81
1784089853.9186702,82.96,-0.69,2.81
1784089854.1176543,88.78,-1.03,2.79
1784089854.3359416,93.55,-1.34,2.68
1784089854.5367038,93.06,-1.27,2.87
1784089854.7362955,93.07,-1.47,2.78
1784089854.9560714,93.11,-1.66,2.73
1784089855.1560435,93.15,-1.49,2.77
1784089855.3575788,93.11,-1.58,2.8
1784089855.5570657,93.22,-1.64,2.79
1784089855.7590463,92.92,-1.56,2.88
1784089855.959765,92.84,-1.61,2.9
1784089856.1581807,92.83,-1.64,2.96
1784089856.3568408,92.81,-1.68,2.94
1784089856.556366,92.81,-1.68,2.95
1784089856.775666,94.28,-1.79,2.99
1784089856.977749,99.39,-2.09,2.81
1784089857.176682,104.98,-2.39,2.68
1784089857.3768697,110.65,-2.71,2.4
1784089857.576735,116.68,-2.97,2.06
1784089857.7778563,122.63,-3.24,1.74
1784089857.976733,128.61,-3.49,1.44
1784089858.1780496,134.4,-3.7,1.14
1784089858.3969266,140.43,-3.86,0.77
1784089858.5983295,147.84,-3.99,0.27
1784089858.8172631,153.84,-4.03,-0.11
1784089859.0164433,159.81,-4.08,-0.53
1784089859.2176125,165.74,-4.06,-0.94
1784089859.4372694,171.59,-3.99,-1.27
1784089859.638071,177.52,-3.9,-1.68
1784089859.8374166,-178.31,-3.82,-1.95
1784089860.0366912,-178.54,-3.77,-1.86
1784089860.2389746,-178.68,-3.96,-1.99
1784089860.4361205,-178.67,-3.94,-1.9
1784089860.6372998,-178.6,-4.14,-1.95
1784089860.8560398,-178.61,-4.38,-1.99
1784089861.0560193,-178.62,-4.45,-1.93
1784089861.2575932,-178.56,-4.38,-1.88
1784089861.4577448,-178.42,-4.48,-1.91
1784089861.6580238,-178.39,-4.51,-1.91
1784089861.856693,-178.33,-4.51,-1.92
1784089862.0567746,-178.2,-4.53,-1.93
1784089862.2761378,-177.56,-4.53,-1.86
1784089862.476634,-172.46,-4.38,-2.26
1784089862.6773136,-166.88,-4.2,-2.66
1784089862.8969662,-160.98,-4.01,-3.05
1784089863.0959146,-155.13,-3.7,-3.51
1784089863.2958493,-149.1,-3.4,-3.85
1784089863.4959774,-143.23,-3.04,-4.14
1784089863.695901,-135.75,-2.58,-4.5
1784089863.8972168,-130.0,-2.18,-4.74
1784089864.0959847,-124.08,-1.74,-4.89
1784089864.3169074,-118.16,-1.3,-5.04
1784089864.5161905,-112.2,-0.78,-5.11
1784089864.7176535,-106.28,-0.37,-5.12
1784089864.9187937,-100.52,0.1,-5.15
1784089865.1161964,-94.5,0.57,-5.1
1784089865.3167334,-89.13,1.0,-4.99
1784089865.5367672,-89.44,1.0,-4.83
1784089865.7383258,-89.21,0.89,-4.87
1784089865.9362724,-89.23,0.8,-5.01
1784089866.1359434,-89.3,0.75,-4.9
1784089866.3364723,-89.24,0.76,-4.96
1784089866.5363684,-89.26,0.79,-4.99
1784089866.7394183,-89.27,0.72,-4.95
1784089866.938038,-89.17,0.61,-4.97
1784089867.1393306,-89.02,0.55,-4.94
1784089867.355701,-89.0,0.51,-4.94
1784089867.5573816,-88.85,0.5,-4.94
1784089867.755861,-88.83,0.5,-4.92
1784089867.956744,-85.01,0.76,-4.8
1784089868.1573825,-79.63,1.17,-4.69
1784089868.3767076,-73.76,1.61,-4.49
1784089868.5759854,-68.04,2.02,-4.28
1784089868.775667,-62.0,2.34,-4.05
1784089868.9758406,-56.11,2.68,-3.84
1784089869.178787,-50.25,3.03,-3.5
1784089869.3977027,-44.27,3.33,-3.25
1784089869.5965197,-38.36,3.59,-2.87
1784089869.7971406,-32.34,3.8,-2.45
1784089869.9959517,-26.46,3.96,-2.04
1784089870.1970415,-19.06,4.09,-1.5
1784089870.4174733,-13.06,4.18,-1.03
1784089870.6160436,-7.08,4.2,-0.61
1784089870.8362453,-1.28,4.21,-0.09
1784089871.0370626,1.25,4.16,0.1
1784089871.2373292,1.22,4.17,0.13
