unix_timestamp,x,y,z
1788186328.7331824,0.0,0.0,0.0
1788186329.8426778,-2e-05,-8e-05,0.0
1788186330.8595338,2e-05,-1e-05,0.0
1788186331.7956939,0.15553,0.03876,0.0
1788186332.8265998,0.45757,0.09287,0.0
1788186333.8524318,0.58682,0.14443,0.0
1788186334.8785925,0.58652,0.14365,0.0
1788186335.8849454,0.88598,0.20214,0.0
1788186336.926564,1.18799,0.28106,0.0
1788186337.936042,1.19645,0.28359,0.0
1788186338.9533684,1.34601,0.31902,0.0
1788186339.9852083,1.65922,0.37345,0.0
1788186341.0226905,1.78347,0.41584,0.0
1788186342.0505414,1.78804,0.41389,0.0
1788186343.0638964,1.7811,0.41572,0.0
1788186344.049765,1.70395,0.70262,0.0
1788186345.1182787,1.63809,1.01302,0.0
1788186346.056424,1.63213,1.0328,0.0
1788186347.0912204,1.58147,1.18403,0.0
1788186348.1608315,1.48939,1.47267,0.0
1788186349.1231,1.46843,1.63757,0.0
1788186350.2453067,1.46664,1.64081,0.0
1788186351.187679,1.4137,1.96055,0.0
1788186352.2092028,1.37987,2.24249,0.0
1788186353.2965388,1.38645,2.24241,0.0
1788186354.2501256,1.37946,2.24437,0.0
1788186355.2568264,1.38236,2.23831,0.0
1788186356.3125074,1.42152,1.94908,0.0
1788186357.3681438,1.49569,1.64326,0.0
1788186358.3341725,1.50102,1.61814,0.0
1788186359.3601077,1.5,1.61491,0.0
1788186360.384537,1.38657,1.59311,0.0
1788186361.3632061,1.10592,1.5221,0.0
1788186362.4266145,0.89781,1.44746,0.0
1788186363.4461281,0.89622,1.44634,0.0
1788186364.4162867,0.6537,1.3671,0.0
1788186365.4910045,0.36793,1.28579,0.0
1788186366.4211295,0.28819,1.27583,0.0
1788186367.4489188,0.18479,1.25773,0.0
1788186368.4626327,-0.12388,1.23309,0.0
1788186369.569642,-0.319,1.18029,0.0
1788186370.714357,-0.32019,1.17786,0.0
1788186371.5558724,-0.31493,1.18425,0.0
1788186372.6046357,-0.34625,1.40679,0.0
1788186373.5855925,-0.37404,1.70765,0.0
1788186374.615158,-0.40127,1.81757,0.0
1788186375.6363473,-0.39854,1.82256,0.0
1788186376.6444936,-0.40951,1.81819,0.0
1788186377.6838074,-0.38289,1.65369,0.0
1788186378.6743388,-0.35401,1.3338,0.0
1788186379.7175064,-0.32075,1.22367,0.0
1788186380.753449,-0.32393,1.22391,0.0
1788186381.7027524,-0.19719,1.24652,0.0
1788186382.7242491,0.09229,1.27941,0.0
1788186383.7553985,0.31946,1.29504,0.0
1788186384.788842,0.32109,1.29018,0.0
1788186385.7776034,0.31795,1.29769,0.0
1788186386.8421333,0.28454,1.4978,0.0
1788186387.927387,0.22644,1.80861,0.0
1788186388.8479075,0.19766,1.8797,0.0
1788186389.8908608,0.19781,1.88314,0.0
1788186390.8944123,0.21199,1.88075,0.0
1788186391.9606488,0.51769,1.96744,0.0
1788186392.952668,0.77336,2.04196,0.0
1788186394.004754,0.76456,2.03677,0.0
1788186395.0880623,0.76889,2.04428,0.0
1788186396.030765,0.75895,2.03591,0.0
1788186397.091101,0.45876,1.96028,0.0
1788186398.0772939,0.15787,1.90549,0.0
1788186399.0887187,0.15312,1.91052,0.0
1788186400.1257806,0.14715,1.90286,0.0
1788186401.106441,0.21445,1.61855,0.0
1788186402.111386,0.27597,1.32581,0.0
1788186403.1326745,0.27987,1.28027,0.0
1788186404.2069485,0.28201,1.27552,0.0
1788186405.1943717,0.52143,1.31727,0.0
1788186406.2011435,0.81297,1.38218,0.0
1788186407.2230067,0.89995,1.39181,0.0
1788186408.2298636,0.90283,1.39012,0.0
1788186409.324666,0.90119,1.34355,0.0
1788186410.3210032,0.93184,1.0346,0.0
1788186411.4145658,0.97359,0.83708,0.0
1788186412.4007077,0.96865,0.83357,0.0
1788186413.4191375,0.98004,0.83523,0.0
1788186414.4340146,0.96698,0.8979,0.0
1788186415.4232163,0.97685,1.20541,0.0
1788186416.4435704,0.97241,1.40534,0.0
1788186417.6134973,0.96825,1.40646,0.0
1788186418.585407,1.04281,1.40495,0.0
1788186419.4890375,1.3427,1.46058,0.0
1788186420.5447834,1.55541,1.48879,0.0
1788186421.6637561,1.55541,1.49206,0.0
1788186422.5707982,1.55203,1.43157,0.0
1788186423.681531,1.58092,1.11084,0.0
1788186424.679785,1.642,0.8453,0.0
1788186425.696218,1.64714,0.82342,0.0
1788186426.641111,1.70229,0.51524,0.0
1788186427.7509105,1.73128,0.36887,0.0
1788186428.6796975,1.73497,0.36497,0.0
1788186429.742894,1.60723,0.36545,0.0
1788186430.7178514,1.31884,0.35471,0.0
1788186431.7235262,1.12808,0.31439,0.0
1788186432.7667792,0.9988,0.30053,0.0
1788186433.8015888,0.71045,0.23464,0.0
1788186434.8196366,0.51386,0.18803,0.0
1788186435.8095994,0.3703,0.16957,0.0
1788186436.8496659,0.07721,0.10567,0.0
1788186437.8895583,-0.087,0.06982,0.0
