unix_timestamp,tof1,tof2,tof3,tof4
1784518671.4522507,14376,0,0,0
1784518671.4522507,65534,0,0,0
1784518671.674277,1228,0,0,0
1784518671.876128,1015,0,0,0
1784518672.2790182,863,0,0,0
1784518672.292565,869,0,0,0
1784518672.494011,905,0,0,0
1784518672.6843336,1065,0,0,0
1784518672.889292,701,0,0,0
1784518673.3055959,734,0,0,0
1784518673.3055959,240,0,0,0
1784518673.4950566,647,0,0,0
1784518673.7125742,469,0,0,0
1784518673.9288387,1018,0,0,0
1784518674.1233864,769,0,0,0
1784518674.3272896,710,0,0,0
1784518674.5346835,730,0,0,0
1784518674.938379,855,0,0,0
1784518675.1572273,1080,0,0,0
1784518675.3532057,2730,0,0,0
1784518675.5522408,2549,0,0,0
1784518675.7764237,2516,0,0,0
1784518676.1676989,2349,0,0,0
1784518676.1676989,2293,0,0,0
1784518676.374992,2159,0,0,0
1784518676.582288,2208,0,0,0
1784518676.7818542,2237,0,0,0
1784518677.1943383,2202,0,0,0
1784518677.2082286,2137,0,0,0
1784518677.3959384,2005,0,0,0
1784518677.604657,1870,0,0,0
1784518677.8123412,1775,0,0,0
1784518678.0157225,1686,0,0,0
1784518678.4226508,1635,0,0,0
1784518678.4226508,1598,0,0,0
1784518678.6311631,1574,0,0,0
1784518678.8351684,1552,0,0,0
1784518679.2420788,1537,0,0,0
1784518679.2420788,1530,0,0,0
1784518679.455486,1518,0,0,0
1784518679.6477942,1397,0,0,0
1784518679.858988,1503,0,0,0
1784518680.069646,1581,0,0,0
1784518680.2641587,1566,0,0,0
1784518680.4720345,1712,0,0,0
1784518680.673351,1850,0,0,0
1784518680.868961,1994,0,0,0
1784518681.087767,2199,0,0,0
1784518681.2914414,2252,0,0,0
1784518681.4944475,1929,0,0,0
1784518681.7072282,1617,0,0,0
1784518681.90769,1527,0,0,0
1784518682.107963,1469,0,0,0
1784518682.310318,1432,0,0,0
1784518682.5252664,1419,0,0,0
1784518682.7318301,1419,0,0,0
1784518682.9285953,1378,0,0,0
1784518683.1313217,1263,0,0,0
1784518683.339266,1135,0,0,0
1784518683.5404146,1013,0,0,0
1784518683.7495215,912,0,0,0
1784518683.9494138,855,0,0,0
1784518684.362329,826,0,0,0
1784518684.366352,782,0,0,0
1784518684.5659184,745,0,0,0
1784518684.7711241,717,0,0,0
1784518684.977706,692,0,0,0
1784518685.1911418,676,0,0,0
1784518685.383747,666,0,0,0
1784518685.5924673,675,0,0,0
1784518685.7974176,690,0,0,0
1784518685.9990728,710,0,0,0
1784518686.2070138,744,0,0,0
1784518686.4087374,802,0,0,0
1784518686.6076152,912,0,0,0
1784518686.8218136,1440,0,0,0
1784518687.0328035,1576,0,0,0
1784518687.2271073,1619,0,0,0
1784518687.4273865,1438,0,0,0
1784518687.6351774,1820,0,0,0
1784518687.8424034,1390,0,0,0
1784518688.0293236,1148,0,0,0
1784518688.2421746,1265,0,0,0
1784518688.4534395,1607,0,0,0
1784518688.665152,1630,0,0,0
1784518688.8707752,1601,0,0,0
1784518689.0407255,1512,0,0,0
1784518689.2829967,1459,0,0,0
1784518689.4843516,1365,0,0,0
1784518689.6926167,1224,0,0,0
1784518689.8961158,1212,0,0,0
1784518690.0365503,1285,0,0,0
1784518690.2961864,1245,0,0,0
1784518690.507657,1270,0,0,0
1784518690.708573,1267,0,0,0
1784518690.9049742,1255,0,0,0
1784518691.1318262,1258,0,0,0
1784518691.3209453,1277,0,0,0
1784518691.5333624,1533,0,0,0
1784518691.7340426,1480,0,0,0
1784518691.9424286,2101,0,0,0
1784518692.1443007,2172,0,0,0
1784518692.3536615,1850,0,0,0
1784518692.5615854,874,0,0,0
1784518692.7586741,713,0,0,0
1784518692.9630322,653,0,0,0
1784518693.1697836,713,0,0,0
1784518693.3724809,889,0,0,0
1784518693.5805066,1144,0,0,0
1784518693.7835972,2707,0,0,0
1784518693.9864912,2856,0,0,0
1784518694.1933098,3128,0,0,0
1784518694.3895233,2401,0,0,0
1784518694.6068134,2393,0,0,0
1784518694.8067677,2408,0,0,0
1784518694.9178615,2252,0,0,0
