unix_timestamp,yaw,pitch,roll
1787802043.771553,32.89,3.84,4.07
1787802043.771553,32.89,3.84,4.07
1787802043.974433,32.89,3.84,4.07
1787802044.18115,32.89,3.84,4.07
1787802044.5842075,32.89,3.84,4.07
1787802044.597427,32.89,3.84,4.07
1787802044.9181712,32.89,3.84,4.07
1787802045.0105383,32.89,3.84,4.07
1787802045.1873302,32.89,3.84,4.07
1787802045.4094005,32.89,3.84,4.07
1787802045.6101308,32.89,3.84,4.07
1787802045.8167076,32.87,3.94,4.06
1787802046.0233185,32.93,4.0,4.06
1787802046.2309694,32.94,4.08,4.06
1787802046.4402297,32.96,4.17,4.05
1787802046.6424978,32.98,4.26,4.05
1787802046.854542,33.0,4.34,4.05
1787802047.043729,33.02,4.42,4.04
1787802047.2567396,33.04,4.51,4.04
1787802047.4632876,33.04,4.53,4.04
1787802047.6630044,33.04,4.53,4.04
1787802047.8589544,33.04,4.53,4.04
1787802048.0826051,33.04,4.53,4.04
1787802048.2340348,33.04,4.53,4.04
1787802048.4729311,33.04,4.53,4.04
1787802048.6846743,33.05,4.53,4.04
1787802048.892622,33.04,4.53,4.04
1787802049.099839,33.04,4.54,4.04
1787802049.258323,33.04,4.54,4.04
1787802049.500314,33.04,4.54,4.04
1787802049.6498644,33.05,4.56,4.04
1787802049.917402,33.04,4.56,4.03
1787802050.1179721,33.04,4.56,4.02
1787802050.2515981,33.04,4.58,4.01
1787802050.4522922,33.04,4.59,4.0
1787802050.6520083,33.04,4.61,3.99
1787802050.8544111,33.05,4.62,3.98
1787802051.0731843,33.05,4.63,3.98
1787802051.2741387,33.05,4.63,3.98
1787802051.5556724,33.05,4.63,3.98
1787802051.6729338,33.05,4.62,3.98
1787802051.8686092,33.04,4.62,3.98
1787802052.1720023,33.04,4.62,3.98
1787802052.3678892,33.04,4.62,3.97
1787802052.5829058,33.04,4.63,3.97
1787802052.7773607,33.05,4.63,3.97
1787802052.9229589,33.05,4.63,3.96
1787802053.08259,33.05,4.63,3.96
