unix_timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1788186328.1171649,-0.0149,0.00805,-1.00129,0.00218,0.00617,0.00366
1788186328.2501283,-0.01524,0.00548,-1.00172,0.00223,0.00469,0.00375
1788186328.277605,-0.0153,0.00596,-1.00193,0.00414,0.00415,0.00363
1788186328.3973641,-0.01467,0.00572,-1.00025,0.00415,0.00538,0.00255
1788186328.5256367,-0.01567,0.00622,-1.0032,0.002,0.00569,0.00258
1788186328.6492488,-0.01432,0.00775,-1.00302,0.00298,0.00631,0.00036
1788186328.7331824,-0.01323,0.00505,-1.00084,0.00428,0.00599,0.00475
1788186328.9353256,-0.01654,0.00588,-1.00103,0.00189,0.00451,0.00578
1788186328.940882,-0.01588,0.00828,-1.0007,0.00452,0.00276,0.00082
1788186329.0587363,-0.01622,0.00647,-1.00267,0.00829,0.00751,0.00543
1788186329.1427836,-0.01561,0.00736,-1.00211,0.00278,0.0044,0.00305
1788186329.2745605,-0.01572,0.00667,-1.00065,0.0032,0.00372,0.00532
1788186329.343694,-0.01341,0.00655,-1.00327,0.00388,0.00315,0.00329
1788186329.468398,-0.01437,0.00579,-1.00153,0.00414,0.00474,0.0043
1788186329.5513217,-0.01441,0.00595,-1.00095,0.00419,0.0054,0.00295
1788186329.7291079,-0.01508,0.00685,-1.00172,0.00187,0.00401,0.00259
1788186329.7291079,-0.01577,0.00509,-1.0018,0.00692,0.00581,0.00312
1788186329.8426778,-0.01443,0.00622,-1.00287,0.0058,0.00805,0.00229
1788186329.9640326,-0.01427,0.00589,-1.00117,0.00574,0.00204,0.00318
1788186330.0762665,-0.01632,0.00625,-1.00111,0.00289,0.00454,0.00512
1788186330.1271334,-0.01531,0.00546,-0.99838,0.0026,0.00676,0.00401
1788186330.2596803,-0.01486,0.00649,-1.00263,0.00568,0.00307,0.00336
1788186330.3628228,-0.01716,0.00585,-1.00197,0.00452,0.00596,0.00406
1788186330.5031962,-0.01411,0.0064,-1.00198,0.00403,0.00559,0.00567
1788186330.5674703,-0.01565,0.00643,-1.00067,0.00397,0.00527,0.00196
1788186330.7311463,-0.01556,0.00601,-1.00335,0.00397,0.00564,0.00285
1788186330.7311463,-0.01418,0.0058,-1.00116,0.00302,0.00583,0.00383
1788186330.8595338,-0.01652,0.00708,-0.99991,0.00383,0.00607,0.00106
1788186330.9828744,-0.01521,0.0053,-1.0001,0.00318,0.00438,0.00526
1788186331.095967,-0.01658,0.0053,-1.00285,0.0035,0.00442,0.00277
1788186331.1440582,-0.01486,0.00639,-1.00218,0.00278,0.00767,0.00482
1788186331.246442,-0.01681,0.00622,-1.00107,0.00255,0.00679,0.0036
1788186331.3540087,0.17211,0.01039,-0.98788,0.00447,0.03646,-0.0149
1788186331.4762385,0.22954,-0.01323,-0.99942,0.01034,0.00516,0.05159
1788186331.5793571,-0.00367,-0.0061,-0.98768,-0.01366,0.0153,-0.0409
1788186331.698504,-0.15927,-0.01399,-0.96898,0.03844,0.0082,-0.00513
1788186331.7334623,-0.107,-0.008,-0.98736,0.00655,0.01852,-0.00506
1788186331.857632,0.02703,-0.07274,-1.00854,0.01906,-0.0149,0.00473
1788186331.9938295,0.0332,-0.02224,-1.02547,-0.01969,-0.00823,0.01243
1788186332.0958543,-0.01908,0.00976,-0.98884,0.02322,0.03676,-0.0056
1788186332.1971302,-0.08791,0.02881,-1.00245,0.01867,0.00539,0.02786
1788186332.3172019,-0.03233,0.00558,-1.00581,-0.01038,0.00986,0.02083
1788186332.4056816,0.0262,-0.03259,-0.99649,-0.00642,0.01733,-0.00353
1788186332.523411,0.01252,-0.01746,-1.01097,0.03562,-0.00664,0.0224
1788186332.6186798,-0.0428,0.02454,-1.01708,-0.02501,-0.00651,0.02624
1788186332.7316606,-0.04394,-0.009,-1.00438,-0.03502,0.02394,0.01285
1788186332.7471948,0.00147,-0.01113,-0.99123,0.06422,-0.00178,0.00313
1788186332.8476567,0.01242,0.00651,-0.98718,0.03851,-0.00698,0.00701
1788186332.970335,-0.00313,0.03337,-1.00672,0.03013,0.01087,-0.00661
1788186333.0882893,-0.0101,0.04074,-1.00702,-0.00172,0.01129,-0.01387
1788186333.2330687,-0.01995,-0.02685,-0.98938,-0.0481,-0.0139,0.0204
