1787583995.072974,-1.5,-0.63,-0.88
1787583995.2756972,-1.5,-0.63,-0.88
1787583995.2927353,-1.5,-0.63,-0.88
1787583995.5496845,-1.5,-0.63,-0.88
1787583995.7099428,-1.5,-0.63,-0.88
1787583995.9122005,-1.5,-0.63,-0.88
1787583996.112265,-1.5,-0.63,-0.88
1787583996.3136168,-1.5,-0.63,-0.88
1787583996.5154665,-1.5,-0.63,-0.88
1787583996.910664,-1.5,-0.63,-0.88
1787583997.0172594,-1.5,-0.63,-0.88
1787583997.2032056,-1.5,-0.63,-0.88
1787583997.3360577,-1.48,-0.57,-0.88
1787583997.5345674,-1.51,-0.55,-0.88
1787583997.7655375,-1.51,-0.51,-0.88
1787583997.952778,-1.52,-0.47,-0.87
1787583998.1467545,-1.52,-0.43,-0.87
1787583998.3554025,-1.52,-0.4,-0.87
1787583998.5530221,-1.53,-0.35,-0.86
1787583998.8046596,-1.53,-0.32,-0.87
1787583998.9761071,-1.54,-0.3,-0.87
1787583999.1678996,-1.54,-0.3,-0.87
1787583999.3615093,-1.54,-0.3,-0.87
1787583999.6033013,-1.54,-0.3,-0.87
1787583999.7827537,-1.54,-0.29,-0.87
1787583999.9941897,-1.54,-0.3,-0.87
1787584000.1913636,-1.54,-0.3,-0.87
1787584000.597654,-1.54,-0.3,-0.87
1787584000.6113973,-1.54,-0.3,-0.87
1787584000.7987807,-1.54,-0.3,-0.88
1787584001.0067692,-1.54,-0.3,-0.88
1787584001.221615,-1.55,-0.3,-0.88
1787584001.4191754,-1.55,-0.31,-0.88
1787584001.6253245,-1.56,-0.32,-0.87
1787584001.8292494,-1.56,-0.32,-0.88
1787584002.0349023,-1.56,-0.33,-0.88
1787584002.3402722,-1.57,-0.32,-0.88
1787584002.452523,-1.57,-0.32,-0.88
1787584002.6543403,-1.57,-0.32,-0.88
1787584002.8543286,-1.57,-0.32,-0.88
1787584003.1680093,-1.57,-0.32,-0.88
1787584003.2735147,-1.57,-0.33,-0.88
1787584003.50782,-1.57,-0.33,-0.88
1787584003.674274,-1.57,-0.33,-0.88
1787584003.884394,-1.57,-0.31,-0.88
1787584004.0828595,-1.58,-0.29,-0.88
1787584004.291271,-1.59,-0.28,-0.89
1787584004.4899755,-1.59,-0.26,-0.88
1787584004.700491,-1.6,-0.25,-0.89
1787584004.9117851,-1.61,-0.23,-0.89
1787584005.1056845,-1.61,-0.23,-0.89
1787584005.3259687,-1.61,-0.23,-0.89
1787584005.506968,-1.66,-0.12,-0.86
1787584005.7481124,-1.67,-0.31,-0.7
1787584005.9371104,-1.67,-0.34,-0.78
1787584006.1112714,-1.76,-0.38,-0.85
1787584006.3684938,-1.82,-0.53,-0.91
1787584006.55632,-1.94,-0.36,-0.9
1787584006.7407458,-2.15,-0.39,-0.9
1787584006.9511747,-2.45,-0.29,-0.92
1787584007.175509,-2.49,-0.18,-0.85
1787584007.3345277,-2.52,-0.08,-0.89
1787584007.5613413,-2.58,-0.11,-0.94
1787584007.752964,-2.64,-0.12,-0.92
1787584007.9578373,-2.69,-0.06,-0.93
1787584008.2010715,-2.71,-0.12,-0.94
1787584008.393932,-2.76,-0.15,-0.93
1787584008.6317284,-2.85,-0.19,-0.9
1787584008.760982,-2.85,-0.25,-0.91
1787584009.0147374,-2.94,-0.33,-0.91
1787584009.2140012,-2.97,-0.36,-0.91
1787584009.381568,-3.01,-0.34,-0.97
1787584009.606071,-3.08,-0.31,-0.94
1787584009.815117,-3.23,-0.3,-0.96
1787584010.0263708,-3.43,-0.29,-0.93
1787584010.2542913,-3.62,-0.25,-0.91
1787584010.43145,-3.9,-0.23,-0.89
1787584010.7083542,-4.17,-0.28,-0.9
1787584010.82712,-4.44,-0.25,-0.91
1787584011.0425763,-4.76,-0.2,-0.89
1787584011.2526999,-1.8,-0.05,-0.99
1787584011.5717156,23.55,-0.03,-0.93
1787584011.770905,49.28,0.12,-0.87
1787584011.860613,74.11,0.24,-0.68
1787584012.0684867,85.64,0.19,-0.56
1787584012.2903366,86.74,0.21,-0.59
1787584012.4911613,85.75,0.19,-0.6
1787584012.692682,85.34,0.18,-0.6
1787584012.8906128,85.25,0.17,-0.61
1787584013.0788176,85.24,0.16,-0.61
1787584013.3368757,85.24,0.15,-0.61
1787584013.5121677,85.25,0.14,-0.62
1787584013.7065208,85.25,0.13,-0.62
1787584013.9117768,85.25,0.13,-0.62
1787584014.3200054,85.25,0.13,-0.62
1787584014.3267908,72.07,0.13,-0.7
1787584014.527798,49.94,-0.04,-0.81
1787584014.7347708,26.51,-0.2,-0.81
1787584014.9152546,2.8,-0.4,-0.78
1787584015.1546257,-4.9,-0.4,-0.78
1787584015.3161256,-5.12,-0.32,-0.74
1787584015.5467107,-5.37,-0.38,-0.83
1787584015.7555404,-5.62,-0.44,-0.82
1787584015.9573445,-4.96,0.66,-0.83
1787584016.1305754,-6.58,3.14,-0.85
1787584016.3760908,-9.23,3.12,-0.7
1787584016.569582,-32.95,-0.53,-0.55
1787584016.7764895,-57.94,-0.67,-0.26
1787584016.984709,-81.66,-0.66,-0.18
1787584017.1924324,-96.24,-0.43,-0.1
1787584017.3939946,-97.66,-0.44,-0.12
1787584017.5986478,-97.12,-0.48,-0.12
1787584017.7965631,-96.54,-0.5,-0.11
1787584018.0098102,-96.34,-0.51,-0.11
1787584018.1508012,-96.33,-0.53,-0.12
1787584018.3591275,-100.58,-0.56,-0.03
1787584018.6201386,-122.53,-0.45,0.06
1787584018.824492,-145.68,-0.29,0.08
1787584019.0329518,-169.41,-0.02,0.05
1787584019.240309,173.59,0.06,-0.04
1787584019.4277432,172.85,0.17,-0.05
1787584019.6086454,172.65,0.27,-0.14
1787584019.7901623,172.43,0.36,-0.19
1787584020.011607,172.5,0.53,-0.19
1787584020.2336867,173.33,0.91,-0.14
1787584020.415272,174.57,1.63,-0.1
1787584020.6650121,172.9,2.56,-0.39
1787584020.8559713,174.45,1.06,0.26
1787584021.0528896,174.04,0.37,-0.01
1787584021.2806034,174.46,0.42,-0.11
1787584021.4812956,173.72,0.08,-0.05
1787584021.6871367,174.65,-0.08,-0.01
1787584021.8829842,174.55,-0.05,-0.04
1787584022.1012266,174.55,0.1,-0.02
1787584022.3099377,174.52,0.01,-0.01
1787584022.5112236,174.54,0.01,-0.06
1787584022.831668,174.55,0.0,-0.09
1787584022.8941216,174.55,-0.02,-0.08
