1787583995.2785869,225,16.11,218,16.64
1787583995.4307065,235,15.41,220,16.49
1787583995.5918038,229,15.82,222,16.34
1787583995.8980732,225,16.11,215,16.88
1787583996.091866,240,15.08,218,16.64
1787583996.3002973,238,15.21,220,16.49
1787583996.4327688,225,16.11,218,16.64
1787583996.5728953,227,15.97,218,16.64
1787583996.910664,220,16.49,227,15.97
1787583997.082529,225,16.11,216,16.8
1787583997.3192873,225,16.11,218,16.64
1787583997.518561,231,15.68,218,16.64
1787583997.6542313,225,16.11,212,17.13
1787583997.938759,241,15.02,217,16.72
1787583998.153661,221,16.41,218,16.64
1787583998.3482676,229,15.82,215,16.88
1787583998.6924248,245,14.76,211,17.21
1787583998.9761071,225,16.11,211,17.21
1787583999.1519494,245,14.76,218,16.64
1787583999.3615093,224,16.19,218,16.64
1787583999.490474,225,16.11,211,17.21
1787583999.704702,224,16.19,218,16.64
1787583999.9941897,231,15.68,221,16.41
1787584000.177066,226,16.04,215,16.88
1787584000.597654,226,16.04,219,16.57
1787584000.8154404,250,14.46,212,17.13
1787584001.2061086,225,16.11,218,16.64
1787584001.4191754,238,15.21,218,16.64
1787584001.6253245,226,16.04,215,16.88
1787584002.0349023,228,15.9,208,17.46
1787584002.2305827,240,15.08,223,16.26
1787584002.4442816,221,16.41,209,17.38
1787584002.648956,227,15.97,220,16.49
1787584002.838283,235,15.41,214,16.96
1787584003.0555952,222,16.34,212,17.13
1787584003.2640898,223,16.26,212,17.13
1787584003.3954082,225,16.11,213,17.04
1787584003.6698253,233,15.55,216,16.8
1787584003.884394,226,16.04,222,16.34
1787584004.0071301,236,15.34,212,17.13
1787584004.276717,231,15.68,212,17.13
1787584004.4899755,225,16.11,214,16.96
1787584004.700491,238,15.21,213,17.04
1787584004.895644,225,16.11,215,16.88
1787584005.1056845,235,15.41,212,17.13
1787584005.319618,233,15.55,218,16.64
1787584005.4912233,221,16.41,219,16.57
1787584005.6833925,231,15.68,214,16.96
1787584005.8759027,231,15.68,209,17.38
1787584006.042149,231,15.68,205,17.73
1787584006.257869,231,15.68,199,18.27
1787584006.4301174,225,16.11,199,18.27
1787584006.57585,218,16.64,199,18.27
1787584006.7407458,149,24.55,189,19.26
1787584006.8899114,74,30.0,188,19.37
1787584007.0635014,155,23.58,191,19.06
1787584007.255109,133,27.55,191,19.06
1787584007.433274,121,30.0,196,18.56
1787584007.6259694,111,30.0,191,19.06
1787584007.7907844,132,27.76,188,19.37
1787584007.9578373,150,24.38,188,19.37
1787584008.1362035,132,27.76,188,19.37
1787584008.329559,135,27.14,183,19.91
1787584008.5750344,153,23.89,177,20.6
1787584008.760982,164,22.26,182,20.02
1787584008.953424,159,22.98,186,19.58
1787584009.1242278,152,24.05,191,19.06
1787584009.3171988,159,22.98,183,19.91
1787584009.5061476,351,10.18,188,19.37
1787584009.6535022,310,11.58,205,17.73
1787584009.7826805,294,12.23,181,20.13
1787584010.0068412,301,11.94,180,20.25
1787584010.2061417,301,11.94,188,19.37
1787584010.3833814,295,12.19,182,20.02
1787584010.5956383,302,11.9,182,20.02
1787584010.734891,293,12.28,184,19.8
1787584010.9024642,295,12.19,182,20.02
1787584011.0467508,295,12.19,182,20.02
1787584011.236791,295,12.19,187,19.47
1787584011.4555109,363,9.83,142,25.78
1787584011.6588707,304,11.82,188,19.37
1787584011.8321626,167,21.86,45,30.0
1787584011.9713166,290,12.41,7,30.0
1787584012.2698572,301,11.94,14,30.0
1787584012.4662075,271,13.31,17,30.0
1787584012.6744711,295,12.19,17,30.0
1787584012.8259928,289,12.45,21,30.0
1787584013.0788176,283,12.72,17,30.0
1787584013.2214396,283,12.72,17,30.0
1787584013.4960046,289,12.45,17,30.0
1787584013.6246254,295,12.19,17,30.0
1787584013.8388815,290,12.41,17,30.0
1787584014.3200054,289,12.45,17,30.0
1787584014.526283,278,12.96,89,30.0
1787584014.651705,363,9.83,122,30.0
1787584014.791576,352,10.15,143,25.59
1787584015.1555736,296,12.15,156,23.43
1787584015.2836266,272,13.26,156,23.43
1787584015.4981916,256,14.11,161,22.69
1787584015.6871307,215,16.88,161,22.69
1787584015.8533368,217,16.72,164,22.26
1787584015.9921775,224,16.19,159,22.98
1787584016.1305754,185,19.69,164,22.26
1787584016.569582,153,23.89,180,20.25
1787584016.7900672,181,20.13,39,30.0
1787584016.9912076,231,15.68,171,21.33
1787584017.186679,104,30.0,233,15.55
1787584017.3939946,101,30.0,216,16.8
1787584017.5986478,107,30.0,246,14.7
1787584017.7965631,98,30.0,230,15.75
1787584018.0137837,100,30.0,192,18.96
1787584018.1508012,93,30.0,223,16.26
1787584018.367414,96,30.0,194,18.76
1787584018.6201386,168,21.72,104,30.0
1787584018.7549767,216,16.8,150,24.38
1787584019.233677,249,14.52,170,21.46
1787584019.3738194,228,15.9,197,18.46
1787584019.5337248,219,16.57,239,15.14
1787584019.7208524,210,17.29,257,14.05
1787584019.894122,210,17.29,274,13.16
1787584020.0546343,192,18.96,287,12.54
1787584020.2278292,179,20.36,322,11.13
1787584020.415272,177,20.6,356,10.03
1787584020.5614305,180,20.25,340,10.52
1787584020.6881328,200,18.18,293,12.28
1787584020.8012514,228,15.9,253,14.28
1787584020.9911573,247,14.64,232,15.61
1787584021.2212818,258,14.0,223,16.26
1787584021.6871367,243,14.89,236,15.34
1787584022.1012266,242,14.95,236,15.34
1787584022.3099377,239,15.14,231,15.68
1787584022.5112236,243,14.89,238,15.21
1787584022.7192683,252,14.34,237,15.28
1787584022.914952,240,15.08,241,15.02
1787584023.1334994,248,14.58,235,15.41
