1787583994.860057,0.0,0.0,0.0,0.0,0.0,0.0
1787583995.0739772,-0.01341,0.01169,-0.99672,0.00066,0.00114,0.00278
1787583995.2781415,-0.01495,0.00998,-0.9952,0.00443,0.0047,0.00468
1787583995.2785869,-0.01319,0.01107,-0.9966,0.00099,0.00201,0.00102
1787583995.4103777,-0.01252,0.0111,-0.99374,0.00328,0.00353,0.00439
1787583995.4307065,-0.01327,0.0095,-0.99565,0.00129,0.00424,0.00639
1787583995.5496845,-0.01276,0.01159,-0.9941,0.00351,0.00226,0.00556
1787583995.6753032,-0.01436,0.00927,-0.99344,0.00223,0.00259,0.00461
1787583995.8901215,-0.01414,0.01047,-0.99557,0.00391,0.00396,0.00275
1787583995.8901215,-0.01486,0.01084,-0.99419,0.00242,0.00307,0.00429
1787583996.0154543,-0.01392,0.01082,-0.99592,0.00081,0.00354,0.00401
1787583996.098727,-0.01398,0.01018,-0.99388,0.00192,0.00718,0.00338
1787583996.2099957,-0.01431,0.00929,-0.99542,0.00214,0.0064,0.00772
1787583996.3002973,-0.01525,0.0107,-0.99494,0.00538,0.00314,0.00299
1787583996.4179053,-0.01489,0.01008,-0.99464,0.00362,0.00108,0.00544
1787583996.5154665,-0.01196,0.01005,-0.99642,0.00374,0.00161,0.00442
1787583996.5582657,-0.01583,0.01129,-0.99555,0.00387,0.00337,0.00401
1787583996.6777747,-0.01332,0.01048,-0.99493,0.00252,0.00177,0.00472
1787583996.910664,-0.01271,0.01049,-0.99511,0.00226,0.00506,0.00574
1787583997.0172594,-0.01374,0.01267,-0.99584,0.00184,0.00509,0.00441
1787583997.0953507,-0.0128,0.01131,-0.9946,0.00188,0.00181,0.00437
1787583997.2167628,-0.0164,0.00944,-0.99637,0.00209,0.00307,0.00471
1787583997.3192873,0.05725,0.01669,-0.9899,-0.02401,0.03993,0.00677
1787583997.448337,-0.09393,0.01227,-0.99859,-0.00182,0.00241,0.01798
1787583997.518561,-0.02838,0.0312,-0.9992,0.00542,-0.00513,-0.00759
1787583997.6471348,-0.013,0.0108,-0.99611,0.00013,-0.00307,-0.00347
1787583997.6955044,-0.01142,0.00556,-0.99478,0.00234,0.00402,0.00953
1787583997.772137,-0.01827,0.00975,-0.99606,0.0014,0.00854,0.00408
1787583997.938759,-0.01762,0.01168,-0.9977,0.00423,0.00355,0.00288
1787583998.0568388,-0.0148,0.0093,-0.99514,0.00646,0.00063,0.00859
1787583998.142272,-0.01395,0.01187,-0.99464,6e-05,0.00754,0.00059
1787583998.2654598,-0.01223,0.01001,-0.99251,0.0038,0.00781,0.00609
1787583998.3482676,-0.01367,0.01034,-0.99463,9e-05,0.00366,0.00538
1787583998.467188,-0.0084,0.00914,-0.99424,0.00198,-0.00528,0.00753
